#SAMPLE	CODE
158337416	#N/A
158458797	#N/A
158479027	#N/A
158499257	#N/A
158802708	#N/A
158883629	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_unclassified
158944319	#N/A
159207311	#N/A
159268001	#N/A
159369152	#N/A
159490532	#N/A
159551223	#N/A
159571453	#N/A
159591683	#N/A
159611913	#N/A
159814214	#N/A
160158126	#N/A
160178356	#N/A
160319967	#N/A
160380657	#N/A
160421117	#N/A
160582958	#N/A
160603188	#N/A
246515023	#N/A
638754422	#N/A
686765762	#N/A
763435843	#N/A
763536994	#N/A
763577454	#N/A
763820215	#N/A
763840445	#N/A
763860675	#N/A
763901136	#N/A
763961826	#N/A
763982056	#N/A
764042746	#N/A
764083206	#N/A
764143897	#N/A
764224817	#N/A
764305738	#N/A
764325968	#N/A
764447348	#N/A
764487809	#N/A
765094712	#N/A
809635352	#N/A
